participant_id,age
512591307504,24.876112251882272
826772137795,26.0
206044002155,19.0
656950957845,24.0
108893451515,23.0
852627676676,60.9308692676249
106847803341,10.0
855821008773,21.0
390696380218,27.0
665358094819,19.0
404462559347,9.435616438
220335571493,25.0
549448988509,9.0
230496424118,78.5845311430527
113484693835,22.5
125295604279,23.0
514216395702,21.0
455526833022,21.0
518817165912,11.04931507
255727004569,19.0
183797804453,9.1
667267572569,66.33264887063655
974877812246,21.0
338866539867,27.5
952776637852,19.0
574160796443,21.0
249490422156,17.13
353593360279,41.62
839032642270,67.81930184804928
903102643483,19.0
495387604500,19.08
809667175823,43.0
820918431463,21.0
744141834517,46.71047227926078
458724067747,12.43835616
987863853354,72.5
580285657273,10.0
840847898906,25.0
406442518076,68.0
281171079038,19.0
444080364099,19.0
734097348430,23.0
702490913073,19.0
594745664942,16.0
986598837703,21.0
889475973950,21.0
674509869536,23.0
414156611560,22.0
165604485425,14.0
251152153076,27.0
495207539415,21.0
752781093429,19.0
296427539569,19.0
386443623879,19.0
698490319297,29.0
655374246890,28.870636550308014
587009566043,21.0
896362723142,21.0
910315280332,21.0
510989746907,37.097878165639976
565703410370,21.0
358027372224,68.26830937713895
636129540020,24.0
181539725053,19.0
245055811403,36.0
245235309359,21.0
600265031153,18.0
325116559617,21.0
406012214137,18.0
200829694210,21.0
400076789412,15.0
338078821659,14.0
690309517436,55.0
799436047340,21.0
287060632619,23.0
670914982191,17.6
609892457500,13.75
878124223907,24.0
453576742612,22.5
939037999646,23.0
471019443594,23.71526351813826
686706639402,22.0
148237622396,19.0
970917164596,25.0
410173634990,13.33
833933618360,68.0
869561056537,25.0
676756169324,13.12
351546374188,19.0
558379537642,9.7
545189027962,20.0
504662286528,28.0
778029593360,21.0
164064925038,16.0
206099391777,29.0
696273606035,26.0
252670417736,19.0
789224424631,19.0
751188829255,21.0
626188931445,17.0
200978776791,18.0
425788429649,23.0
666304483965,23.0
996843901663,25.0
238501970612,21.0
908737113272,19.0
814718160007,24.0
239529578005,43.460643394934976
641778374478,23.0
161819845928,25.0
